date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-10-25 13:54:00,“บิ๊กตู่” เมินตอบสูตรนายกฯ คนละครึ่ง “บิ๊กป้อม” ไม่สน “ชลน่าน” อวยพี่ใหญ่ดีกว่า,https://mgronline.com/politics/detail/9650000101958,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,ชลน่าน ศรีแก้ว,ชลน่าน ศรีแก้ว,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-25,13:54:00
2022-10-06 19:57:00,“ธนกร” ชูผลงาน พปชร.คนตอบรับเพียบ ตอก “ชลน่าน” ใครเป็นตัวเลือก ปชช.ตัดสินเอง,https://mgronline.com/politics/detail/9650000096125,"ธนกร วังบุญคงชนะ,ชลน่าน ศรีแก้ว,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-06,19:57:00
2022-09-09 14:23:00,“ชลน่าน-อุ๊งอิ๊ง” นำทีมลุยเชียงใหม่ กิจกรรม “สะบัดชัย เพื่อไทยมาเหนือ” แย้มพรุ่งนี้ (10 ก.ย.) มีเซอร์ไพรส์,https://mgronline.com/politics/detail/9650000086741,"ชลน่าน ศรีแก้ว,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-09,14:23:00
2022-07-07 12:01:00,“หมอชลน่าน” นำทีม ส.ส.พท.แถลงประณามใบสั่งผู้มีอำนาจหาร 500 จวกทำลายระบบรัฐสภาสร้างความอัปยศ ยันสูตร 500 ขัด รธน.,https://mgronline.com/politics/detail/9650000064647,"ชลน่าน ศรีแก้ว,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-07,12:01:00
2022-07-06 21:49:00,“เพื่อไทย” ดึงเกมโหวตสูตรปาร์ตี้ลิสต์ “ชลน่าน” เตือนระวังเป็นสภาเผด็จการ,https://mgronline.com/politics/detail/9650000064496,"ชลน่าน ศรีแก้ว,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-06,21:49:00
2022-05-31 12:00:00,“หมอชลน่าน” ชี้ “ชัชชาติฟีเวอร์” คู่เทียบภาวะผู้นำ “บิ๊กตู่” แนะ กกต.อย่าใช้ประเด็นนี้ไม่รับรอง เพราะคนรับกรรมคือนายกฯ,https://mgronline.com/politics/detail/9650000051614,"คณะกรรมการการเลือกตั้ง,พลเอก ประยุทธ์ จันทร์โอชา,ชลน่าน ศรีแก้ว,","กกต.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,5,2022-05-31,12:00:00
2022-04-24 18:19:00,“ชลน่าน” ยัน พท.ส่ง 3 ชื่อแคนดิเดตนายกฯ ดีล “บิ๊กป้อม-แม้ว” ให้ถาม รบ.ที่ตอบไม่เหมือนกัน,https://mgronline.com/politics/detail/9650000038976,"พลเอก ประวิตร วงษ์สุวรรณ,ชลน่าน ศรีแก้ว,ชลน่าน ศรีแก้ว,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,4,2022-04-24,18:19:00
2022-01-26 16:50:00,“วราวุธ” ย้อน “ชลน่าน” ไร้กลิ่นโชยรัฐประหาร ชทพ.หนุน รบ.ให้กำลังใจ พปชร.ชี้ปกติง่อนแง่นแต่ลากยาว,https://mgronline.com/politics/detail/9650000008536,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,ชลน่าน ศรีแก้ว,พรรคพลังประชารัฐ,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,1,2022-01-26,16:50:00
2021-11-24 11:29:00,“ชลน่าน” ไม่ปิดกั้น “บิ๊กเนม พปชร.” กลับซบเพื่อไทย แต่ต้องเข้าสู่กระบวนการคัดสรรตามขั้นตอน,https://mgronline.com/politics/detail/9640000116395,"ชลน่าน ศรีแก้ว,ชลน่าน ศรีแก้ว,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,11,2021-11-24,11:29:00
2021-11-03 12:08:00,กลับลำ! “หมอชลน่าน” แจงจุดยืน พท.ไม่ได้แก้ ม.112 แค่ตัวกลางนำปัญหาเข้าสภาฯ,https://mgronline.com/politics/detail/9640000108876,"ชลน่าน ศรีแก้ว,ชลน่าน ศรีแก้ว,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,11,2021-11-03,12:08:00
