date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-10-31 15:07:00,กกต.ย้ำผู้สมัครส.ส.-สมาชิกพรรค ต้องปฎิบัติตามกฎเหล็ก หลังก้าวไกลหารือช่วยภัยพิบัติปชช.,https://mgronline.com/politics/detail/9650000103975,"คณะกรรมการการเลือกตั้ง,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-31,15:07:00
2022-10-25 19:30:00,“ปิยบุตร” แจง 112 มีปัญหาทั้งตัว กม.และอุดมการณ์ ป้อง “ก้าวไกล” “ดร.นิว” ซัด ความต้องการพวก “หนักแผ่นดิน”,https://mgronline.com/politics/detail/9650000102148,"ปิยบุตร แสงกนกกุล,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,10,2022-10-25,19:30:00
2022-10-19 16:33:00,ภท.ลั่นค้านแก้ ม.112 ถึงที่สุด ย้อนเดือดร้อนอะไร ควรแก้ปมปากท้องแทน ปิดประตูร่วม รบ.ก้าวไกล,https://mgronline.com/politics/detail/9650000100173,"พรรคภูมิใจไทย,พรรคอนาคตใหม่-พรรคก้าวไกล,","พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-19,16:33:00
2022-10-18 14:29:00,“ไทยภักดี” ร้อง กกต.ยุบก้าวไกล ชี้ ชูนโยบาย แก้ ม.112-ม.116 พระสงฆ์มีสิทธิเลือกตั้ง เข้าข่ายเป็นปฏิปักษ์ต่อการปกครอง,https://mgronline.com/politics/detail/9650000099683,"คณะกรรมการการเลือกตั้ง,พรรคอนาคตใหม่-พรรคก้าวไกล,พรรคไทยภักดี,","กกต.,พรรคการเมือง,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-18,14:29:00
2022-10-15 13:20:00,“ก้าวไกล” เปิดหน้าดันนิรโทษกรรมคดีการเมือง แก้ ม.112 พระเลือกตั้งได้ ลงนามศาลอาญาระหว่างประเทศ,https://mgronline.com/politics/detail/9650000098796,"พรรคอนาคตใหม่-พรรคก้าวไกล,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,10,2022-10-15,13:20:00
2022-10-13 17:13:00,“ธนกร” ขอบคุณ “บิ๊กตู่” ลุยปราบยา-ปืนวาระแห่งชาติ ตบหน้าฝ่ายค้านตั้ง คกก.ใหญ่คุมการทำงาน,https://mgronline.com/politics/detail/9650000098383,"พลเอก ประยุทธ์ จันทร์โอชา,ธนกร วังบุญคงชนะ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-13,17:13:00
2022-09-18 16:10:00,“โรม” ปัดก้าวไกลส่ง “จุรีพร สินธุไพร” ชิงนายก อบจ.ร้อยเอ็ด ชี้คนในพรรคช่วยหาเสียงนามส่วนตัว,https://mgronline.com/politics/detail/9650000089689,"รังสิมันต์ โรม,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-18,16:10:00
2022-09-15 16:23:00,“อนุทิน” จ่อใช้ประกาศ สธ.แทน พ.ร.บ.กัญชาฯ งงฝ่ายค้านไม่ฟังแม้คำปรารภ ชมก้าวไกล-ชทพ.ใจกว้าง,https://mgronline.com/politics/detail/9650000088836,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคชาติไทยพัฒนา,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-15,16:23:00
2022-09-08 11:56:00,“พิธา” ลั่นอยากเป็นพรรคใหญ่ ตั้งเป้าเลือกตั้งครั้งหน้า ส.ส.ก้าวไกล มาแน่ เชื่อครบทุกเขตทุกภูมิภาค,https://mgronline.com/politics/detail/9650000086258,"พิธา ลิ้มเจริญรัตน์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-08,11:56:00
2022-09-08 10:35:00,"“ก้าวไกล” เปิดแคมเปญ “รีเซตประเทศไทย"" ล่า 50,000 ชื่อ ทำประชามติตั้ง ส.ส.ร.ร่าง รธน.ใหม่ พร้อมเลือกตั้งปีหน้า",https://mgronline.com/politics/detail/9650000086218,"พรรคอนาคตใหม่-พรรคก้าวไกล,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-08,10:35:00
