date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-11-01 17:53:00,"""บิ๊กตู่"" สั่งสนามบินเพิ่มช่องอำนวยความสะดวกนักท่องเที่ยวปีนีัพุ่ง 7 ล. ไม่นิ่งนอนใจช่วยน้ำท่วม",https://mgronline.com/politics/detail/9650000104444,"พลเอก ประยุทธ์ จันทร์โอชา,พรรณิการ์ วานิช,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,11,2022-11-01,17:53:00
2021-11-08 12:31:00,“วิษณุ” ชี้สภาฯเตรียมแจง “ก้าวไกล” ยื่นสอบ “นิพนธ์” ผิดช่องทางหรือไม่?,https://mgronline.com/politics/detail/9640000110603,"วิษณุ เครืองาม,นิพนธ์ บุญญามณี,พรรณิการ์ วานิช,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,11,2021-11-08,12:31:00
2020-11-15 16:24:00,เด็ก พปชร.แนะ “ทอน-ช่อ” ถอยห่าง “ปิยบุตร” ป้อนข้อมูลเท็จ เสนอหันมารักเทิดทูนสถาบันฯ เพื่อสันติสุข,https://mgronline.com/politics/detail/9630000117954,"ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,พรรณิการ์ วานิช,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2563,11,2020-11-15,16:24:00
2020-07-29 12:30:00,“ก้าวไกล” จี้ กกต.สั่งช่อง 7 ระงับออกอากาศละคร “เพลงรักผาปืนแตก” ทำ “กรุงศรีวิไล” ได้เปรียบในการเลือกตั้งซ่อม ส.ส.,https://mgronline.com/politics/detail/9630000077356,"คณะกรรมการการเลือกตั้ง,พรรณิการ์ วานิช,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2563,7,2020-07-29,12:30:00
2020-07-27 10:57:00,“ก้าวไกล” จ่อร้อง กกต.สอบช่อง 7 ฉายละครรีรัน “เพลงรักผาปืนเเตก” เอื้อประโยชน์ “กรุงศรีวิไล”,https://mgronline.com/politics/detail/9630000076733,"คณะกรรมการการเลือกตั้ง,พรรณิการ์ วานิช,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2563,7,2020-07-27,10:57:00
2020-07-02 15:27:00,“เสรีพิศุทธ์” สบช่อง ส.ส.รัฐบาลติดภารกิจ ดันปมถวายสัตย์ผ่าน กมธ.ให้ ป.ป.ช.จัดการ,https://mgronline.com/politics/detail/9630000068030,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,พรรณิการ์ วานิช,เสรี สุวรรณภานนท์,","ป.ป.ช.,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2563,7,2020-07-02,15:27:00
2020-02-21 23:25:00,“อนาคตใหม่” นัดอภิปรายไม่ไว้วางใจนอกสภา 23 ก.พ. - “ช่อ” ลั่นถึงเวลาคัดแยกขยะเน่าเหม็น,https://mgronline.com/politics/detail/9630000017835,"พรรณิการ์ วานิช,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2563,2,2020-02-21,23:25:00
2019-12-17 14:03:00,“ช่อ” ซัด 4 ส.ส.ไม่เคารพอุดมการณ์ไม่รู้จะเก็บไว้ทำไม ยัน อนค.ยังใช้กลไกสภาไม่ลงถนน,https://mgronline.com/politics/detail/9620000120120,"พรรณิการ์ วานิช,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,12,2019-12-17,14:03:00
2019-12-09 17:59:00,“ช่อ” โวยเอกสารคดีปล่อยกู้หลุด ตั้งธงฟัน “ธนาธร”- ยุบ อนค.อ้างมีใบสั่งอีกใบ,https://mgronline.com/politics/detail/9620000117700,"ธนาธร จึงรุ่งเรืองกิจ,พรรณิการ์ วานิช,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,12,2019-12-09,17:59:00
2019-12-02 19:13:00,"""เดียร์"" ยื่น กกต.จัดการ ""ช่อ"" ใส่ร้ายปมถือหุ้นสื่อ เชื่อเจตนากลั่นแกล้งให้พ้นส.ส.",https://mgronline.com/politics/detail/9620000115489,"คณะกรรมการการเลือกตั้ง,พรรณิการ์ วานิช,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,12,2019-12-02,19:13:00
