date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-11-01 18:02:00,"""บิ๊กตู่"" ชี้พ.ร.บ.สุราก้าวหน้าสุดโต่งปล่อยฟรีต้มเหล้า รบ.ต้องรับผิดชอบ ขอซักฟอกไม่ลงมติหลังเอเปค",https://mgronline.com/politics/detail/9650000104447,"พลเอก ประยุทธ์ จันทร์โอชา,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,11,2022-11-01,18:02:00
2022-11-01 17:53:00,"""บิ๊กตู่"" สั่งสนามบินเพิ่มช่องอำนวยความสะดวกนักท่องเที่ยวปีนีัพุ่ง 7 ล. ไม่นิ่งนอนใจช่วยน้ำท่วม",https://mgronline.com/politics/detail/9650000104444,"พลเอก ประยุทธ์ จันทร์โอชา,พรรณิการ์ วานิช,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,11,2022-11-01,17:53:00
2022-11-01 17:08:00,"""ประยุทธ์"" ปลื้ม ""โปรจีน"" ขึ้นแท่นนักกอล์ฟหญิงมือ 1 โลก ยกเป็นแรงบันดาลใจให้คนรุ่นใหม่",https://mgronline.com/politics/detail/9650000104419,"พลเอก ประยุทธ์ จันทร์โอชา,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,11,2022-11-01,17:08:00
2022-11-01 16:22:00,"""อนุทิน"" รับ ""บิ๊กตู่"" กำชับอย่าเสียงแตก ชี้กัญชาเสรีเป็นวาทกรรมหวังตัดแข็งตัดขา-ไม่ทำการบ้าน",https://mgronline.com/politics/detail/9650000104395,"พลเอก ประยุทธ์ จันทร์โอชา,อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,11,2022-11-01,16:22:00
2022-11-01 15:09:00,"""บิ๊กตู่"" เผยขายที่ต่างชาติอยู่ที่กฤษฎีกาแจงได้หมด ย้อนให้ถามคนกุข่าวยุบสภา แย้มได้ดูบอลโลก",https://mgronline.com/politics/detail/9650000104341,"พลเอก ประยุทธ์ จันทร์โอชา,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,11,2022-11-01,15:09:00
2022-11-01 13:58:00,“บิ๊กตู่” ชิมเมนูอาหารรับผู้นำเอเปก บอกทานได้ แต่รสชาติยังไม่คุ้นชิน,https://mgronline.com/politics/detail/9650000104306,"พลเอก ประยุทธ์ จันทร์โอชา,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,11,2022-11-01,13:58:00
2022-11-01 11:01:00,“บิ๊กตู่” ยืนยันรับฟังทุกฝ่าย กม.ไม่ดีต้องแก้ ลั่นทำเพื่อ ปชช. “วิษณุ” ยุชาวบ้านแจ้ง ขรก.ไม่รับทำธุรกรรมออนไลน์,https://mgronline.com/politics/detail/9650000104221,"พลเอก ประยุทธ์ จันทร์โอชา,วิษณุ เครืองาม,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,11,2022-11-01,11:01:00
2022-10-31 18:23:00,“บิ๊กตู่” สั่งช่วยเหลือคนไทยที่ได้ผลกระทบเหตุอิแทวอน พร้อมเข้มจัดงานในไทยให้มีมาตรฐาน,https://mgronline.com/politics/detail/9650000104075,"พลเอก ประยุทธ์ จันทร์โอชา,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-31,18:23:00
2022-10-31 16:28:00,“บิ๊กตู่” หนุน 3 สาขาโมเดล ศก.BCG จ่อตั้งศูนย์แปลผลพันธุกรรมการแพทย์-ผลิตวัคซีนโรคระบาดในฟาร์ม,https://mgronline.com/politics/detail/9650000104029,"พลเอก ประยุทธ์ จันทร์โอชา,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-31,16:28:00
2022-10-31 16:19:00,“ธนกร” ชูความสำเร็จ “บิ๊กตู่” ไทยขึ้นอันดับโลกทั้งเกษตร-อุตสาหกรรม-ท่องเที่ยว-ดิจิทัล-พัฒนายั่งยืน,https://mgronline.com/politics/detail/9650000104018,"พลเอก ประยุทธ์ จันทร์โอชา,ธนกร วังบุญคงชนะ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-31,16:19:00
2022-10-31 16:10:00,“ประยุทธ์” บอกไม่ทราบ หลังมีข่าวยุบสภาออกมาช่วงประชุมเอเปก,https://mgronline.com/politics/detail/9650000104011,"พลเอก ประยุทธ์ จันทร์โอชา,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-31,16:10:00
2022-10-31 14:59:00,“วิษณุ” ย้ำ “บิ๊กตู่” เป็นนายกฯต่อได้แค่ 2 ปี ศาลชี้ชัดไม่มีอะไรจะตีแล้ว แต่แย้มอาจมีร้องรักษาการ,https://mgronline.com/politics/detail/9650000103971,"พลเอก ประยุทธ์ จันทร์โอชา,วิษณุ เครืองาม,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-31,14:59:00
2022-10-31 14:52:00,“บิ๊กป้อม” โยนถาม “บิ๊กตู่” ยุบสภา 24 ธ.ค.เหตุเป็นวันสุดท้าย ส.ส.ย้ายพรรคก่อนครบวาระ,https://mgronline.com/politics/detail/9650000103965,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-31,14:52:00
2022-10-31 14:06:00,“บิ๊กตู่” อุทานโอ๊ะๆ ปัดตอบปมไฟเขียวกฎกระทรวงให้ต่างด้าวถือครองที่ดิน-ยุบสภา 24 ธ.ค.,https://mgronline.com/politics/detail/9650000103928,"พลเอก ประยุทธ์ จันทร์โอชา,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-31,14:06:00
2022-10-30 17:54:00,เพจเชียร์ลั่น “ลุงตู่” ไม่มีวันขายชาติ หลังโดนดิสเครดิตเปิดทางต่างชาติลงทุนแลกซื้อที่ดินกระตุ้น ศก.,https://mgronline.com/politics/detail/9650000103704,"พลเอก ประยุทธ์ จันทร์โอชา,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-30,17:54:00
2022-10-30 10:38:00,“สิระ” เดือดค้านต่างชาติซื้อที่ สอบขัด รธน.ทวงคำมั่นสัญญา “บิ๊กตู่” จี้ปลดทีม ศก.ล้มเหลวซ้ำซาก,https://mgronline.com/politics/detail/9650000103601,"พลเอก ประยุทธ์ จันทร์โอชา,สิระ เจนจาคะ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,10,2022-10-30,10:38:00
