date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-09-13 14:21:00,“เสรีพิศุทธ์” ยกตัวอย่าง “ป๋าเปรม” จี้ “บิ๊กตู่” ลาออกก่อนศาล รธน.วินิจฉัยปมวาระ 8 ปี เตือนดันทุรัง อาจจบชีวิตการเมือง,https://mgronline.com/politics/detail/9650000087934,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","องคมนตรี,สายพรรคการเมือง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-13,14:21:00
2021-07-13 15:04:00,ส.ส.ชทพ.ชี้สถานการณ์ทำให้นึกถึงคำพูด “ป๋าเปรม” บอก “ตู่ใช้กองหนุนเกือบหมดแล้ว”,https://mgronline.com/politics/detail/9640000068220,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,พรรคชาติไทยพัฒนา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,พรรคการเมือง,","องคมนตรี,สายพรรคการเมือง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,7,2021-07-13,15:04:00
2019-05-28 16:19:00,"""บิ๊กตู่"" เผย ครม.ยืนไว้อาลัย ""ป๋าเปรม"" ขอรำลึกสิ่งที่ทำประโยชน์ พร้อมสานต่อ",https://mgronline.com/politics/detail/9620000050870,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,5,2019-05-28,16:19:00
2019-05-28 14:43:00,สะเทือนใจ! “ธนาธร” โยนบาป ระบบรัฐยุค “พล.อ.เปรม” ขวางรัฐสวัสดิการ,https://mgronline.com/politics/detail/9620000050809,"พลเอก เปรม ติณสูลานนท์,ธนาธร จึงรุ่งเรืองกิจ,","ประธานคณะองคมนตรี,ส.ส. ชุดที่ 25,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,5,2019-05-28,14:43:00
2019-05-27 10:59:00,“ลุงป้อม” ใจหาย สิ้น “ป๋าเปรม” กระทบขวัญกำลังใจทหาร ยกเป็นตัวอย่างซื่อสัตย์สุจริต-จงรักภักดี,https://mgronline.com/politics/detail/9620000050259,"พลเอก เปรม ติณสูลานนท์,พลเอก ประวิตร วงษ์สุวรรณ,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,5,2019-05-27,10:59:00
2019-05-26 20:21:00,"""บิ๊กตู่"" แสดงความอาลัย ป๋าเปรม"" ยกย่องเป็นคนดีแห่งแผ่นดิน",https://mgronline.com/politics/detail/9620000050155,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,5,2019-05-26,20:21:00
2019-04-10 10:48:00,“ประยุทธ์” นำทีมรดน้ำดำหัว “ป๋าเปรม” ชมรัฐบาลนี้ไม่มีโกง,https://mgronline.com/politics/detail/9620000035265,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,4,2019-04-10,10:48:00
2019-03-16 14:24:00,“ป๋าเปรม”ปรากฏตัว ลงคะแนนล่วงหน้าพรุ่งนี้,https://mgronline.com/politics/detail/9620000026295,"พลเอก เปรม ติณสูลานนท์,","ประธานคณะองคมนตรี,","องคมนตรี,","วัง & องคมนตรี,",1.0,2562,3,2019-03-16,14:24:00
2018-12-27 11:21:00,“บิ๊กตู่” นำ ครม.-ผบ.เหล่าทัพอวยพรปีใหม่ “ป๋าเปรม” เน้นย้ำมองผู้เห็นต่างเป็นมิตรอย่าเป็นศัตรู,https://mgronline.com/politics/detail/9610000128424,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2561,12,2018-12-27,11:21:00
2018-12-20 12:24:00,“ป๋าเปรม” เปิดบ้านรับนายกฯ-ผบ.เหล่าทัพ อวยพรปีใหม่ 27 ธ.ค.เผยห่วงหลังเลือกตั้ง,https://mgronline.com/politics/detail/9610000126042,"พลเอก เปรม ติณสูลานนท์,","ประธานคณะองคมนตรี,","องคมนตรี,","วัง & องคมนตรี,",1.0,2561,12,2018-12-20,12:24:00
