date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-08-09 15:48:00,“ศรัณย์วุฒิ” แฉดีลเผด็จการสองขั้วผสมพันธุ์ ดัน “บิ๊กป้อม” นายกฯ ท้าสาบานส่งน้องชาย พ. คุยเจ้าของ พท.,https://mgronline.com/politics/detail/9650000075906,"พลเอก ประวิตร วงษ์สุวรรณ,ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,8,2022-08-09,15:48:00
2022-05-08 10:58:00,“ศรัณย์วุฒิ” ขยี้ฝ่ายค้านบางพรรครู้เห็นแผน “ล้มตู่ ชูป้อม” ลั่น “เพื่อชาติ” ไม่เล่นด้วย,https://mgronline.com/politics/detail/9650000043547,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อชาติ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,5,2022-05-08,10:58:00
2021-10-13 11:57:00,“บิ๊กป้อม” เมินตอบข่าว “ศรัณย์วุฒิ” จ่อซบ “พปชร.” หลัง “พท.” ขับพ้นพรรค,https://mgronline.com/politics/detail/9640000101435,"พลเอก ประวิตร วงษ์สุวรรณ,ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,10,2021-10-13,11:57:00
2021-10-12 16:41:00,ตามคาด! “เพื่อไทย” ขับ 2 งูเห่า “ศรัณย์วุฒิ-พรพิมล” พ้นพรรค ระทึกก่อนประชุมพบ ส.ส.ตรวจโควิดเป็นบวก,https://mgronline.com/politics/detail/9640000101195,"พรพิมล ธรรมสาร,ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,10,2021-10-12,16:41:00
2021-09-15 14:21:00,"“ศรัณย์วุฒิ” จวกปิศาจในห้องแอร์ ""เพื่อไทย"" วิ่งผสมพันธุ์เผด็จการ-เดินยุทธศาสตร์พรรคไม่เป็น ยืนยันไม่ซบ พปชร.",https://mgronline.com/politics/detail/9640000091537,"ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,9,2021-09-15,14:21:00
2021-09-13 19:30:00,“เพื่อไทย” ลงดาบ ส.ส.งูเห่า เสนอขับ “ศรัณย์วุฒิ-พรพิมล” พ้นพรรค,https://mgronline.com/politics/detail/9640000090879,"พรพิมล ธรรมสาร,ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,9,2021-09-13,19:30:00
2021-09-11 17:48:00,“ศรัณย์วุฒิ-พรพิมล” เมินแจงโหวตสวนมติพรรค พท.ขีดเส้น 13 ก.ย.ส่ง กก.บห.เชือด,https://mgronline.com/politics/detail/9640000090230,"พรพิมล ธรรมสาร,ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,9,2021-09-11,17:48:00
2021-09-04 15:43:00,“ศรัณย์วุฒิ” โหวตสวน พท.แฉแหลกฝ่ายค้านใส่ชื่อ รมต.ซักฟอกเพื่อต่อรอง แล้วบังคับ ส.ส.ลงมติแบบคลุมถุงชน,https://mgronline.com/politics/detail/9640000087663,"ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,9,2021-09-04,15:43:00
2021-09-03 15:24:00,“ศรัณย์วุฒิ” ซัด พท.ต่อมีไอโอภายในขายข้อมูลรับใช้นายทุน ปูด ปชต.ผสมพันธุ์เผด็จการ อุบย้ายพรรค,https://mgronline.com/politics/detail/9640000087333,"ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,9,2021-09-03,15:24:00
2021-09-03 14:38:00,พท.โต้ “ศรัณย์วุฒิ” ปัดกีดกัน โบ้ยไม่บอกประเด็นเลยจัดเวลาให้ไม่ได้ ติงพูดแรงกล่าวหาพรรคสิ้นอุดมการณ์,https://mgronline.com/politics/detail/9640000087302,"ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,9,2021-09-03,14:38:00
