date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-10-10 18:15:00,“เพื่อไทย” เปิดอ้าซ่ารับ “บิ๊กเนม” ย้ายเข้า โอ่ “สุชาติ-สมศักดิ์-ธรรมนัส” คนเก่าแก่,https://mgronline.com/politics/detail/9650000097307,"ร้อยเอก ธรรมนัส พรหมเผ่า,สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,ร้อยเอก ธรรมนัส พรหมเผ่า,สุชาติ ตันเจริญ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,10,2022-10-10,18:15:00
2022-02-15 15:41:00,“สมศักดิ์” รับ 5 ส.ส.“ก๊วนธรรมนัส” อยากกลับ พปชร.-โวหนุน รบ.อยู่จนครบเทอม,https://mgronline.com/politics/detail/9650000015523,"ร้อยเอก ธรรมนัส พรหมเผ่า,สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,2,2022-02-15,15:41:00
2021-11-30 10:35:00,“สมศักดิ์” ซัดคนว่างงานปล่อยข่าว ลั่น “สามมิตร” ไม่ย้ายกลับ “เพื่อไทย” ขอโอกาสทำงานก่อน,https://mgronline.com/politics/detail/9640000118577,"สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,11,2021-11-30,10:35:00
2021-06-18 9:59:00,“สมศักดิ์” ไม่น้อยใจ พปชร.เปลี่ยนเลขาฯ พรรค เพราะอยู่ไปก็ไม่ได้มีหน้าที่อะไร,https://mgronline.com/politics/detail/9640000058871,"สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,6,2021-06-18,9:59:00
2020-07-02 13:03:00,“สมศักดิ์” ยัน พปชร.ยุติศึกภายในแล้ว หลังได้ “บิ๊กป้อม” คุมบังเหียน,https://mgronline.com/politics/detail/9630000067955,"พลเอก ประวิตร วงษ์สุวรรณ,สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2563,7,2020-07-02,13:03:00
2020-06-04 15:58:00,“สมศักดิ์-ธรรมนัส” โชว์จับมือ ชี้ขัดแย้ง พปชร.เรื่องเล็ก เลี่ยงตอบ “บิ๊กป้อม” นั่ง หน.,https://mgronline.com/politics/detail/9630000058047,"พลเอก ประวิตร วงษ์สุวรรณ,ร้อยเอก ธรรมนัส พรหมเผ่า,สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2563,6,2020-06-04,15:58:00
2019-12-06 16:15:00,“สมศักดิ์” โต้ พท.ไม่มีงูเห่าแลกคดี ฝั่ง รบ.ก็โดน ขอบคุณ ศก.ใหม่ เชื่อมีเหตุผลของเขา,https://mgronline.com/politics/detail/9620000116878,"สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,12,2019-12-06,16:15:00
2019-09-24 11:58:00,“สมศักดิ์” ปัดหม่ำข้าว-แจกซอง ส.ส.เพื่อไทย ท้า “หญิงหน่อย” มีคลิปก็เปิดมา ยันดูด ส.ส.หลังเลือกตั้งไม่ง่าย,https://mgronline.com/politics/detail/9620000091958,"สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,9,2019-09-24,11:58:00
2019-07-02 12:36:00,“อุตตม” ควง “สมศักดิ์-สุริยะ” แถลงยุติศึกภายใน พปชร.ให้อำนาจนายกฯ จัดโผ ล้มมติไล่เลขาฯ พ้นพรรค,https://mgronline.com/politics/detail/9620000062745,"อุตตม สาวนายน,สมศักดิ์ เทพสุทิน,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,สมศักดิ์ เทพสุทิน,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,7,2019-07-02,12:36:00
2019-05-31 13:03:00,“สมศักดิ์” ปัดหอบ 30 ส.ส.ซบ “เพื่อไทย” ยันไม่เคยตีรวนแย่งเก้าอี้ เย้ย “หญิงหน่อย” องุ่นเปรี้ยว เคยมาง้อแต่ไม่สำเร็จ,https://mgronline.com/politics/detail/9620000052012,"สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,5,2019-05-31,13:03:00
2019-01-25 14:03:00,“สมศักดิ์” โวยวิชามาร พวกกลัวแพ้ปล่อยคลิปดิสเครดิต พปชร.อีสาน ยันเวทีสารคามไม่มีลุกหนีเหมือนที่สร้างเรื่อง,https://mgronline.com/politics/detail/9620000008731,"สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,1,2019-01-25,14:03:00
