date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-09-07 14:27:00,ประท้วงวุ่น! “เสรี” สวนก้าวไกล ได้อานิสงส์ รธน.60 ลั่นไม่โหวตแก้ รธน.สักฉบับ ชี้ ส.ว.ที่มาถูกต้อง,https://mgronline.com/politics/detail/9650000085942,"เสรี สุวรรณภานนท์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-07,14:27:00
2022-09-07 10:54:00,“เสรีพิศุทธ์” ยันเชิญ “หม่อมอุ๋ย” เข้าแจง กมธ.ป.ป.ช.ปมนาฬิกาเพื่อนแน่ แต่ยังไม่กำหนดวัน,https://mgronline.com/politics/detail/9650000085829,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,","ป.ป.ช.,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-07,10:54:00
2022-08-08 12:39:00,เสรีรวมไทย ยื่น กกต. สอบ 7 พรรคเล็กรับกล้วย เข้าข่ายถูกยุบพรรค มั่นใจหลักฐานแน่น เหน็บ กกต.อิสระจริงต้องชงศาล รธน.ยุบทิ้ง,https://mgronline.com/politics/detail/9650000075384,"คณะกรรมการการเลือกตั้ง,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","กกต.,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,8,2022-08-08,12:39:00
2022-07-25 14:26:00,กกต.ไฟเขียวรับรอง “เดชทวี” จากเสรีรวมไทย เป็น ส.ส.ลำปางเขต 4 แล้ว,https://mgronline.com/politics/detail/9650000070761,"คณะกรรมการการเลือกตั้ง,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","กกต.,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-25,14:26:00
2022-07-22 15:11:00,“ธนกร” ไล่ก้าวไกลรักษาปากก่อนสัตว์ บิดเบือนนายกฯ ฉะ เสรีรวมไทย พาดพิงเพื่อนบ้านไร้มารยาท,https://mgronline.com/politics/detail/9650000069944,"ธนกร วังบุญคงชนะ,เสรี สุวรรณภานนท์,พรรคอนาคตใหม่-พรรคก้าวไกล,พรรคเสรีรวมไทย,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,7,2022-07-22,15:11:00
2022-06-16 12:39:00,“เสรีพิศุทธ์” เตรียมลุยสู้ศึกเลือกตั้งซ่อมลำปาง ชิงกับพรรคเศรษฐกิจไทย,https://mgronline.com/politics/detail/9650000057263,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,พรรคเศรษฐกิจไทย,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,6,2022-06-16,12:39:00
2022-06-16 11:01:00,“เสรีรวมไทย” ยื่น ป.ป.ช.สอบ กกต.โดดลงมติใบส้ม “สุรพล” ชี้เข้าข่ายผิดจริยธรรมร้ายแรง,https://mgronline.com/politics/detail/9650000057218,"คณะกรรมการการเลือกตั้ง,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","กกต.,ป.ป.ช.,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายองค์กรอิสระ,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,6,2022-06-16,11:01:00
2021-12-09 16:38:00,ป.ป.ช.ตั้งอนุไต่สวน “เสรีพิศุทธ์” รุกล้ำแม่น้ำแควน้อย ส่วนรุกล้ำเจ้าพระยากำลังตรวจสอบ,https://mgronline.com/politics/detail/9640000121972,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,","ป.ป.ช.,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,12,2021-12-09,16:38:00
2021-07-27 10:40:00,“สิระ” ซัด “เสรีพิศุทธ์” รีบทำตามคำสั่งศาลปกครอง จี้รื้อถอนสิ่งล่วงล้ำลำน้ำในแม่น้ำแควน้อย,https://mgronline.com/politics/detail/9640000073295,"ศาลปกครอง,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,สิระ เจนจาคะ,เสรี สุวรรณภานนท์,","ศาลปกครอง,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,7,2021-07-27,10:40:00
2021-02-03 12:07:00,"""เสรีพิศุทธ์"" ลั่นสู้ศึกเลือกตั้งซ่อม ส.ส.เขต 3 เมืองคอนเต็มที่ แม้สู้""ปชป.-พปชร."" ไม่ได้",https://mgronline.com/politics/detail/9640000010789,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,พรรคพลังประชารัฐ,พรรคประชาธิปัตย์,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,2,2021-02-03,12:07:00
