person,count
คณะกรรมการการเลือกตั้ง,353
พรรคเพื่อไทย,97
พรรคประชาธิปัตย์,65
พรรคอนาคตใหม่-พรรคก้าวไกล,61
ธนาธร จึงรุ่งเรืองกิจ,31
พรรคพลังประชารัฐ,28
พรรคภูมิใจไทย,15
วิษณุ เครืองาม,14
พลเอก ประยุทธ์ จันทร์โอชา,13
ทักษิณ ชินวัตร,12
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,11
อภิสิทธิ์ เวชชาชีวะ,10
สิระ เจนจาคะ,9
พลเอก ประวิตร วงษ์สุวรรณ,9
ศาลรัฐธรรมนูญ,9
ปิยบุตร แสงกนกกุล,9
พรรคเสรีรวมไทย,8
ศาลยุติธรรม,6
ชวน หลีกภัย,5
ไพบูลย์ นิติตะวัน,5
พรรคไทยรักษาชาติ,5
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,5
พรรณิการ์ วานิช,5
อนุทิน ชาญวีรกูล,4
ศาลปกครอง,3
เสรี สุวรรณภานนท์,3
พรรคประชาชาติ,3
พรรคชาติไทยพัฒนา,3
พรรคไทยศรีวิไลย์,2
ชัยวุฒิ ธนาคมานุสรณ์,2
ร้อยเอก ธรรมนัส พรหมเผ่า,2
จุรินทร์ ลักษณวิศิษฏ์,2
พรรคไทยภักดี,2
นิกร จำนง,1
จิรายุ ห่วงทรัพย์,1
ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,1
พรรคเศรษฐกิจใหม่,1
สนธิรัตน์ สนธิจิรวงศ์,1
ผู้ตรวจการแผ่นดิน,1
สมคิด จาตุศรีพิทักษ์,1
ถวิล เปลี่ยนศรี,1
พิธา ลิ้มเจริญรัตน์,1
มิ่งขวัญ แสงสุวรรณ์,1
กวินนาถ ตาคีย์,1
จารึก ศรีอ่อน,1
อุตตม สาวนายน,1
พรรครักษ์ผืนป่าประเทศไทย,1
พรรคเพื่อชาติ,1
ปารีณา ไกรคุปต์,1
อมรัตน์ โชคปมิตต์กุล,1
พรรครวมไทยสร้างชาติ,1
ชลน่าน ศรีแก้ว,1
วิโรจน์ ลักขณาอดิศร,1
พรรคไทรักธรรม,1
องอาจ คล้ามไพบูลย์,1
