person,count
ธนาธร จึงรุ่งเรืองกิจ,88
พรรคอนาคตใหม่-พรรคก้าวไกล,44
คณะกรรมการการเลือกตั้ง,31
ปิยบุตร แสงกนกกุล,11
พรรคพลังประชารัฐ,11
พรรคเพื่อไทย,6
พลเอก ประยุทธ์ จันทร์โอชา,5
พรรคประชาธิปัตย์,5
พรรคภูมิใจไทย,5
อนุทิน ชาญวีรกูล,4
สันติ พร้อมพัฒน์,4
พลเอก อภิรัชต์ คงสมพงษ์,4
พรรณิการ์ วานิช,3
ศาลรัฐธรรมนูญ,3
เทวัญ ลิปตพัลลภ,2
ดอน ปรมัตถ์วินัย,2
สุริยะ จึงรุ่งเรืองกิจ,2
ชวน หลีกภัย,2
สิระ เจนจาคะ,2
ธนกร วังบุญคงชนะ,1
อมรัตน์ โชคปมิตต์กุล,1
ณัฐชา บุญไชยอินสวัสดิ์,1
ปารีณา ไกรคุปต์,1
พิธา ลิ้มเจริญรัตน์,1
พรรคกล้า,1
ทักษิณ ชินวัตร,1
วิษณุ เครืองาม,1
นิพนธ์ บุญญามณี,1
ศาลปกครอง,1
พลเอก เปรม ติณสูลานนท์,1
อภิสิทธิ์ เวชชาชีวะ,1
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,1
