person,count
พรรคประชาธิปัตย์,1587
พรรคเพื่อไทย,269
ทักษิณ ชินวัตร,149
อภิสิทธิ์ เวชชาชีวะ,111
คณะกรรมการการเลือกตั้ง,65
พรรคภูมิใจไทย,50
พรรคพลังประชารัฐ,50
จุรินทร์ ลักษณวิศิษฏ์,44
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,39
พลเอก ประยุทธ์ จันทร์โอชา,33
อนุทิน ชาญวีรกูล,22
พรรคอนาคตใหม่-พรรคก้าวไกล,17
ชวน หลีกภัย,13
พลเอก ประวิตร วงษ์สุวรรณ,10
สาธิต ปิตุเตชะ,8
คำนูณ สิทธิสมาน,7
วิษณุ เครืองาม,6
พรรคชาติไทยพัฒนา,5
ธนาธร จึงรุ่งเรืองกิจ,5
จิรายุ ห่วงทรัพย์,4
ศาลรัฐธรรมนูญ,4
ถาวร เสนเนียม,4
กรณ์ จาติกวณิช,4
ศาลปกครอง,3
สมคิด จาตุศรีพิทักษ์,3
จุติ ไกรฤกษ์,3
ศาลยุติธรรม,3
สนธิรัตน์ สนธิจิรวงศ์,3
เฉลิมชัย ศรีอ่อน,3
ชัย ชิดชอบ,2
องอาจ คล้ามไพบูลย์,2
วันชัย สอนศิริ,2
นิพนธ์ บุญญามณี,2
สุริยะ จึงรุ่งเรืองกิจ,2
พลเอก อนุพงษ์ เผ่าจินดา,2
เสรี สุวรรณภานนท์,2
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,2
ร้อยเอก ธรรมนัส พรหมเผ่า,2
พลเอก อภิรัชต์ คงสมพงษ์,2
ถวิล เปลี่ยนศรี,2
พุทธิพงษ์ ปุณณกันต์,2
ไพบูลย์ นิติตะวัน,2
ผู้ตรวจการแผ่นดิน,1
ไผ่ ลิกค์,1
นิคม บุญวิเศษ,1
ยุทธพงศ์ จรัสเสถียร,1
ธานี อ่อนละเอียด,1
พรรคกล้า,1
นาวาอากาศเอก อนุดิษฐ์ นาครทรรพ,1
ชาดา ไทยเศรษฐ์,1
อุตตม สาวนายน,1
ปารีณา ไกรคุปต์,1
พลเอก เปรม ติณสูลานนท์,1
พลเอก ประยุทธ์ จันทร์โอชาพรรคประชาธิปัตย์,1
พรรณิการ์ วานิช,1
มิ่งขวัญ แสงสุวรรณ์,1
พลอากาศตรี เฉลิมชัย เครืองาม,1
พรรคเศรษฐกิจใหม่,1
วิรัช รัตนเศรษฐ,1
พันตำรวจโท ไวพจน์ อาภรณ์รัตน์,1
สิระ เจนจาคะ,1
ชลน่าน ศรีแก้ว,1
