person,count
พรรคเพื่อไทย,1127
พรรคประชาธิปัตย์,269
ทักษิณ ชินวัตร,112
อภิสิทธิ์ เวชชาชีวะ,97
คณะกรรมการการเลือกตั้ง,97
พลเอก ประยุทธ์ จันทร์โอชา,80
พรรคพลังประชารัฐ,61
พลเอก ประวิตร วงษ์สุวรรณ,41
ธนกร วังบุญคงชนะ,39
พรรคอนาคตใหม่-พรรคก้าวไกล,37
อนุทิน ชาญวีรกูล,36
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,33
พรรคภูมิใจไทย,29
สมศักดิ์ เทพสุทิน,16
สิระ เจนจาคะ,16
วิษณุ เครืองาม,15
ชัยวุฒิ ธนาคมานุสรณ์,14
ศรัณย์วุฒิ ศรัณย์เกตุ,11
ชลน่าน ศรีแก้ว,11
จุรินทร์ ลักษณวิศิษฏ์,10
สุทิน คลังแสง,10
พรรคชาติไทยพัฒนา,10
ร้อยเอก ธรรมนัส พรหมเผ่า,8
สุริยะ จึงรุ่งเรืองกิจ,8
ชวน หลีกภัย,7
ธนาธร จึงรุ่งเรืองกิจ,6
นิโรธ สุนทรเลขา,5
คำนูณ สิทธิสมาน,5
พรพิมล ธรรมสาร,5
ไพบูลย์ นิติตะวัน,5
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,4
มิ่งขวัญ แสงสุวรรณ์,4
ศาลรัฐธรรมนูญ,3
สมพงษ์ อมรวิวัฒน์,3
สาธิต ปิตุเตชะ,2
ถาวร เสนเนียม,2
พุทธิพงษ์ ปุณณกันต์,2
ยุทธพงศ์ จรัสเสถียร,2
อุตตม สาวนายน,2
เทวัญ ลิปตพัลลภ,2
เสรี สุวรรณภานนท์,2
อนุชา นาคาศัย,2
ชัย ชิดชอบ,2
สันติ พร้อมพัฒน์,2
ศักดิ์สยาม ชิดชอบ,2
ศาลปกครอง,2
จิรายุ ห่วงทรัพย์,2
รังสิมันต์ โรม,2
ศาลยุติธรรม,2
พรรคเพื่อชาติ,2
นิกร จำนง,1
พลเอก สุรยุทธ์ จุลานนท์,1
พรรคกล้า,1
คณะกรรมการตรวจเงินแผ่นดิน,1
เอนก เหล่าธรรมทัศน์,1
สนธิรัตน์ สนธิจิรวงศ์,1
สมคิด จาตุศรีพิทักษ์,1
ชาดา ไทยเศรษฐ์,1
พรรคไทยรักษาชาติ,1
ถวิล เปลี่ยนศรี,1
จิรวัฒน์ อรัณยกานนท์,1
มงคลกิตติ์ สุขสินธารานนท์,1
พรรณิการ์ วานิช,1
ปิยบุตร แสงกนกกุล,1
พรรคประชาชาติ,1
พิธา ลิ้มเจริญรัตน์,1
กรณ์ จาติกวณิช,1
ธีรรัตน์ สำเร็จวาณิชย์,1
สุชาติ ตันเจริญ,1
พรรคสร้างอนาคตไทย,1
สุรเชษฐ์ ประวีณวงศ์วุฒิ,1
ผ่องศรี แซ่จึง,1
พรรคเศรษฐกิจไทย,1
สุพัฒนพงษ์ พันธ์มีเชาว์,1
ประเสริฐ จันทรรวงทอง,1
องอาจ คล้ามไพบูลย์,1
