person,count
พลเอก ประวิตร วงษ์สุวรรณ,207
พรรคพลังประชารัฐ,91
พลเอก ประยุทธ์ จันทร์โอชา,48
พรรคเพื่อไทย,41
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,20
พรรคอนาคตใหม่-พรรคก้าวไกล,18
ร้อยเอก ธรรมนัส พรหมเผ่า,14
พลเอก อภิรัชต์ คงสมพงษ์,10
พรรคประชาธิปัตย์,10
คณะกรรมการการเลือกตั้ง,9
พรรคภูมิใจไทย,7
อนุทิน ชาญวีรกูล,6
พลเอก เปรม ติณสูลานนท์,6
พลเอก อนุพงษ์ เผ่าจินดา,5
สมศักดิ์ เทพสุทิน,4
ชัยวุฒิ ธนาคมานุสรณ์,4
นฤมล ภิญโญสินวัฒน์,4
สิระ เจนจาคะ,4
พลตำรวจเอก จักรทิพย์ ชัยจินดา,4
จุรินทร์ ลักษณวิศิษฏ์,4
ชลน่าน ศรีแก้ว,4
อุตตม สาวนายน,3
ปารีณา ไกรคุปต์,3
พรรคเศรษฐกิจไทย,3
ทักษิณ ชินวัตร,3
อภิสิทธิ์ เวชชาชีวะ,3
ศรัณย์วุฒิ ศรัณย์เกตุ,3
เทวัญ ลิปตพัลลภ,2
พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,2
พุทธิพงษ์ ปุณณกันต์,2
สุริยะ จึงรุ่งเรืองกิจ,2
วิษณุ เครืองาม,2
เอกราช ช่างเหลา,2
ศักดิ์สยาม ชิดชอบ,2
พรรคชาติไทยพัฒนา,2
สมคิด จาตุศรีพิทักษ์,1
ศาลปกครอง,1
พลเอก สุรยุทธ์ จุลานนท์,1
พรรคกล้า,1
ศาลยุติธรรม,1
วีระกร คำประกอบ,1
ไพบูลย์ นิติตะวัน,1
ชัย ชิดชอบ,1
นิพนธ์ บุญญามณี,1
พรรคเศรษฐกิจใหม่,1
ไผ่ ลิกค์,1
สนธิรัตน์ สนธิจิรวงศ์,1
ศาลรัฐธรรมนูญ,1
พรรคเพื่อชาติ,1
พรรคเสรีรวมไทย,1
ธนกร วังบุญคงชนะ,1
พิจารณ์ เชาวพัฒนวงศ์,1
วัฒนา ช่างเหลา,1
ธานี อ่อนละเอียด,1
