person,count
วิษณุ เครืองาม,85
พรรคเพื่อไทย,15
คณะกรรมการการเลือกตั้ง,14
พรรคอนาคตใหม่-พรรคก้าวไกล,11
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,9
พรรคพลังประชารัฐ,8
พลเอก ประยุทธ์ จันทร์โอชา,7
พรรคประชาธิปัตย์,6
พลตำรวจเอก จักรทิพย์ ชัยจินดา,4
ศาลรัฐธรรมนูญ,4
ศาลปกครอง,3
พรรคภูมิใจไทย,3
สิระ เจนจาคะ,3
สุริยะ จึงรุ่งเรืองกิจ,2
ดอน ปรมัตถ์วินัย,2
ไพบูลย์ นิติตะวัน,2
นิพนธ์ บุญญามณี,2
พลเอก ประวิตร วงษ์สุวรรณ,2
ร้อยเอก ธรรมนัส พรหมเผ่า,2
จุรินทร์ ลักษณวิศิษฏ์,2
พรรณิการ์ วานิช,1
ศรีนวล บุญลือ,1
ธนาธร จึงรุ่งเรืองกิจ,1
ทักษิณ ชินวัตร,1
ศาลยุติธรรม,1
