person,count
อนุทิน ชาญวีรกูล,232
พรรคภูมิใจไทย,81
พรรคเพื่อไทย,18
พลเอก ประยุทธ์ จันทร์โอชา,16
พรรคอนาคตใหม่-พรรคก้าวไกล,15
พรรคประชาธิปัตย์,11
พรรคพลังประชารัฐ,8
ศักดิ์สยาม ชิดชอบ,4
ศรีนวล บุญลือ,3
พลเอก ประวิตร วงษ์สุวรรณ,3
เฉลิมชัย ศรีอ่อน,3
สุริยะ จึงรุ่งเรืองกิจ,2
ปิยบุตร แสงกนกกุล,2
ธนาธร จึงรุ่งเรืองกิจ,2
ชวน หลีกภัย,2
คณะกรรมการการเลือกตั้ง,2
ผ่องศรี แซ่จึง,2
พรรคชาติไทยพัฒนา,2
พรพิมล ธรรมสาร,1
ถาวร เสนเนียม,1
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,1
สิระ เจนจาคะ,1
พรรคเศรษฐกิจไทย,1
สุทิน คลังแสง,1
ชัย ชิดชอบ,1
พลอากาศตรี เฉลิมชัย เครืองาม,1
ธานี อ่อนละเอียด,1
ศาลรัฐธรรมนูญ,1
พรรคเศรษฐกิจใหม่,1
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,1
ทักษิณ ชินวัตร,1
